pais,tipo_energia,total_gerado,unidade
Chad,Nuclear,0.0,TWh
Uruguay,Coal,0.0,TWh
Cyprus,Gas,0.0,TWh
Gambia (the),Coal,0.0,TWh
Mauritius,Nuclear,0.0,TWh
North Macedonia,Nuclear,0.0,TWh
Saint Kitts and Nevis,Coal,0.0,TWh
Afghanistan,Gas,0.0,TWh
Lesotho,Other Fossil,0.0,TWh
Iceland,Gas,0.0,TWh
Cyprus,Coal,0.0,TWh
Malta,Coal,0.0,TWh
Denmark,Nuclear,0.0,TWh
Samoa,Gas,0.0,TWh
Ghana,Nuclear,0.0,TWh
Montenegro,Nuclear,0.0,TWh
Paraguay,Gas,0.0,TWh
Italy,Nuclear,0.0,TWh
Falkland Islands (the) [Malvinas],Coal,0.0,TWh
Qatar,Other Fossil,0.0,TWh
Montserrat,Nuclear,0.0,TWh
Liberia,Gas,0.0,TWh
Guam,Gas,0.0,TWh
Nicaragua,Gas,0.0,TWh
Western Sahara,Coal,0.0,TWh
Saint Kitts and Nevis,Gas,0.0,TWh
Honduras,Gas,0.0,TWh
Haiti,Gas,0.0,TWh
Israel,Nuclear,0.0,TWh
Guinea-Bissau,Nuclear,0.0,TWh
Gambia (the),Nuclear,0.0,TWh
Costa Rica,Gas,0.0,TWh
Senegal,Nuclear,0.0,TWh
El Salvador,Coal,0.0,TWh
Luxembourg,Coal,0.0,TWh
Turkmenistan,Coal,0.0,TWh
Lesotho,Coal,0.0,TWh
Kyrgyzstan,Nuclear,0.0,TWh
Maldives,Gas,0.0,TWh
Bolivia,Nuclear,0.0,TWh
Kiribati,Gas,0.0,TWh
South Sudan,Nuclear,0.0,TWh
Zambia,Nuclear,0.0,TWh
Turkmenistan,Other Fossil,0.0,TWh
Saudi Arabia,Coal,0.0,TWh
Equatorial Guinea,Nuclear,0.0,TWh
Montserrat,Coal,0.0,TWh
Barbados,Nuclear,0.0,TWh
Iraq,Coal,0.0,TWh
Saint Pierre and Miquelon,Nuclear,0.0,TWh
Western Sahara,Nuclear,0.0,TWh
Saint Lucia,Coal,0.0,TWh
Uruguay,Nuclear,0.0,TWh
Guinea-Bissau,Gas,0.0,TWh
Brunei Darussalam,Nuclear,0.0,TWh
Comoros (the),Coal,0.0,TWh
Bangladesh,Nuclear,0.0,TWh
Paraguay,Coal,0.0,TWh
Tajikistan,Other Fossil,0.0,TWh
Mauritius,Gas,0.0,TWh
Eritrea,Coal,0.0,TWh
Malta,Nuclear,0.0,TWh
Trinidad and Tobago,Nuclear,0.0,TWh
Congo (the),Nuclear,0.0,TWh
Azerbaijan,Nuclear,0.0,TWh
Nigeria,Coal,0.0,TWh
Virgin Islands (U.S.),Nuclear,0.0,TWh
El Salvador,Gas,0.0,TWh
Gambia (the),Gas,0.0,TWh
Bahamas (the),Gas,0.0,TWh
Saint Vincent and the Grenadines,Coal,0.0,TWh
Cameroon,Coal,0.0,TWh
Algeria,Coal,0.0,TWh
Tajikistan,Nuclear,0.0,TWh
Sudan (the),Nuclear,0.0,TWh
Somalia,Nuclear,0.0,TWh
"Saint Helena, Ascension and Tristan da Cunha",Nuclear,0.0,TWh
United Arab Emirates,Other Fossil,0.0,TWh
Ecuador,Coal,0.0,TWh
Kuwait,Nuclear,0.0,TWh
Kiribati,Nuclear,0.0,TWh
Algeria,Nuclear,0.0,TWh
"Tanzania, the United Republic of",Nuclear,0.0,TWh
Malawi,Nuclear,0.0,TWh
Namibia,Gas,0.0,TWh
Bolivia,Coal,0.0,TWh
Kenya,Coal,0.0,TWh
Fiji,Coal,0.0,TWh
Kosovo,Nuclear,0.0,TWh
Gabon,Nuclear,0.0,TWh
Armenia,Other Fossil,0.0,TWh
Mauritania,Coal,0.0,TWh
New Zealand,Nuclear,0.0,TWh
Fiji,Nuclear,0.0,TWh
Rwanda,Nuclear,0.0,TWh
Botswana,Nuclear,0.0,TWh
Faroe Islands (the),Coal,0.0,TWh
New Caledonia,Nuclear,0.0,TWh
Guatemala,Nuclear,0.0,TWh
Turkmenistan,Nuclear,0.0,TWh
Saint Lucia,Gas,0.0,TWh
Vanuatu,Nuclear,0.0,TWh
Eritrea,Gas,0.0,TWh
American Samoa,Gas,0.0,TWh
Cambodia,Gas,0.0,TWh
